Sequence,Year
KT694942,1974
KT694975,1974
JX509938,2010
KT694953,1974
KT695008,1988
KT694997,1988
KT695030,1988
JN849125,2008
MN478758,2016
JN849151,2009
MN478752,2015
JN849119,2008
JQ069652,2007
JQ069651,2007
JQ069650,2007
JQ069672,2008
JQ069663,2008
JQ069674,2008
JQ069633,2007
JQ069634,2007
JQ069643,2007
JQ069678,2008
JQ069677,2008
JQ069675,2008
MT796881.1/WA/G1P8,1974
RVA/Vaccine/USA/Rotarix-A41CB0,1988
RVA/Human-wt/BEL/BE1520/2009/G,2009
RVA/Human-wt/BEL/BE0253/2008/G,2008
