Sequence,Continent
LC172464,Asia
LC469338,Asia
LC105424,Asia
KP007191,Asia
KP007160,Asia
KP007202,Asia
KP007182,Asia
MG652348,North America
LC086728,Asia
LC086717,Asia
MG652339,North America
MG652341,North America
MG652334,North America
MG652345,North America
MG652333,North America
LC465288,Asia
LC172526,Asia
LC172548,Asia
LC172547,Asia
LC172546,Asia
LC172591,Asia
LC465266,Asia
LC172592,Asia
LC172512,Asia
LC172494,Asia
LC172518,Asia
LC172501,Asia
LC172493,Asia
LC172461,Asia
LC172511,Asia
LC172504,Asia
LC172502,Asia
LC172487,Asia
LC172462,Asia
LC172506,Asia
LC172521,Asia
LC172516,Asia
LC172606,Asia
LC172597,Asia
LC172594,Asia
LC172583,Asia
LC172595,Asia
LC172587,Asia
LC172599,Asia
LC172490,Asia
LC172498,Asia
LC172495,Asia
LC172486,Asia
LC172529,Asia
LC172508,Asia
LC172603,Asia
LC172572,Asia
LC172590,Asia
LC172607,Asia
LC172483,Asia
LC465277,Asia
LC462857,Asia
LC172463,Asia
LC172517,Asia
LC172467,Asia
LC463262,Asia
LC172481,Asia
LC172538,Asia
LC172489,Asia
LC172549,Asia
LC172530,Asia
LC172534,Asia
LC172484,Asia
LC172485,Asia
LC468238,Asia
LC172632,Asia
LC465299,Asia
LC172468,Asia
LC172491,Asia
LC172482,Asia
LC172541,Asia
LC172496,Asia
LC172536,Asia
LC463205,Asia
LC172472,Asia
LC172510,Asia
LC172543,Asia
LC172480,Asia
LC172479,Asia
LC172630,Asia
LC172631,Asia
LC172524,Asia
LC172525,Asia
LC172535,Asia
LC172528,Asia
LC465820,Asia
LC172619,Asia
LC172544,Asia
LC172503,Asia
LC172604,Asia
LC172514,Asia
LC172527,Asia
MG652346,North America
LC469340,Asia
LC430887,Asia
MG652351,North America
MG652356,North America
MG652355,North America
MG652354,North America
MG652352,North America
MG652347,North America
LC172470,Asia
LC172532,Asia
MG652349,North America
MG652338,North America
LC172539,Asia
LC172533,Asia
LC465244,Asia
MG652343,North America
LC172550,Asia
LC172497,Asia
LC172488,Asia
MG652344,North America
MG599528,South America
MG599527,South America
MG599529,South America
MG599530,South America
LC172627,Asia
LC169954,Asia
LC169943,Asia
LC169921,Asia
LC169965,Asia
LC169932,Asia
LC169877,Asia
LC086750,Asia
JN706529,Asia
LC066642,Asia
MN058749,Asia
LC477383,Asia
MN058759,Asia
MN058738,Asia
LC066664,Asia
LC066653,Asia
LC169855,Asia
LC169866,Asia
LC169844,Asia
LC169910,Asia
LC086739,Asia
LC169899,Asia
LC169888,Asia
LC086761,Asia
JN706530,Asia
MN783354,Asia
JN706531,Asia
LC172602,Asia
